2020-01-09 08:31:51 INFO     Voyage migration started with ID: 38953
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 39123
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 39255
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 39331
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 39365
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 39480
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 39533
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 39547
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 39567
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 39616
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 39656
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 39788
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 39933
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 39995
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 40019
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 40067
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 40085
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 40106
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 40142
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 40194
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 40220
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 40667
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 44053
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 44253
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 46019
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 47608
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 47889
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 48127
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 48152
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 48395
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 48549
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 48797
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 48826
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 48896
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 48953
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 49010
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 49082
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 49135
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 49268
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 49321
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 49345
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 49429
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 49521
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 49628
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 49665
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 49907
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 49915
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration started with ID: 50079
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:31:51 INFO     Voyage migration finished with ID: None
2020-01-09 08:32:03 INFO     Entry exists: usp50079-0
2020-01-09 08:32:04 INFO     Entry deleted: usp50079-0
2020-01-09 08:32:06 INFO     Entry added: usp50079-0
2020-01-09 08:32:06 INFO     Entry exists: usp50079-1
2020-01-09 08:32:07 INFO     Entry deleted: usp50079-1
2020-01-09 08:32:09 INFO     Entry added: usp50079-1
2020-01-09 08:32:09 INFO     Entry exists: usp50079-2
2020-01-09 08:32:10 INFO     Entry deleted: usp50079-2
2020-01-09 08:32:12 INFO     Entry added: usp50079-2
2020-01-09 08:32:12 INFO     Entry exists: usp50079-3
2020-01-09 08:32:13 INFO     Entry deleted: usp50079-3
2020-01-09 08:32:15 INFO     Entry added: usp50079-3
2020-01-09 08:32:15 INFO     Asset exists ID: voyageMap50079, checking file size
2020-01-09 08:32:15 INFO     Epi image size: 145038
2020-01-09 08:32:16 INFO     Contentful image size: 223680
2020-01-09 08:32:16 INFO     Asset size is different
2020-01-09 08:32:16 INFO     Asset name: new-fnnor2001_6_desktop710x625_uk.png, ID: voyageMap500791578555136.4323647
2020-01-09 08:32:18 INFO     Asset added: voyageMap500791578555136.4323647
2020-01-09 08:32:18 INFO     Asset exists ID: voyagePicture50079-0, checking file size
2020-01-09 08:32:19 INFO     Epi image size: 373621
2020-01-09 08:32:19 INFO     Contentful image size: 373621
2020-01-09 08:32:19 INFO     Asset id and size are the same
2020-01-09 08:32:19 INFO     Asset exists ID: voyagePicture50079-1, checking file size
2020-01-09 08:32:20 INFO     Epi image size: 436694
2020-01-09 08:32:21 INFO     Contentful image size: 452811
2020-01-09 08:32:21 INFO     Asset size is different
2020-01-09 08:32:22 INFO     voyagePicture50079-11578555141.2053635 matches size to existing asset: voyagePicture50189-01578514173.9285069
2020-01-09 08:32:23 INFO     Linking voyagePicture50079-11578555141.2053635 to existing asset: voyagePicture50189-01578514173.9285069
2020-01-09 08:32:24 INFO     Asset exists ID: voyagePicture50079-2, checking file size
2020-01-09 08:32:24 INFO     Epi image size: 167975
2020-01-09 08:32:25 INFO     Contentful image size: 227710
2020-01-09 08:32:25 INFO     Asset size is different
