2019-12-15 20:07:18 INFO     Excursion migration started with ID: 43713
2019-12-15 20:07:18 INFO     Excursion migration finished with ID: 43580
2019-12-15 20:07:18 INFO     Asset name: 2K Kayaking in Ålesund (2019/20), ID: 43713
2019-12-15 20:07:18 INFO     Asset exists, skip asset ID: excp43713
2019-12-15 20:07:19 INFO     Entry exists: 43713
2019-12-15 20:07:20 INFO     Entry deleted: 43713
2019-12-15 20:07:21 INFO     Entry added: 43713
2019-12-15 20:07:21 INFO     Excursion migration started with ID: 31568
2019-12-15 20:07:21 INFO     Excursion migration finished with ID: 43713
2019-12-15 20:07:21 INFO     Asset name: Ringve Museum, Trondheim, ID: 31568
2019-12-15 20:07:21 INFO     Asset exists, skip asset ID: excp31568
2019-12-15 20:07:21 INFO     Entry exists: 31568
2019-12-15 20:07:23 INFO     Entry deleted: 31568
2019-12-15 20:07:24 INFO     Entry added: 31568
2019-12-15 20:07:24 INFO     Excursion migration started with ID: 31569
2019-12-15 20:07:24 INFO     Excursion migration finished with ID: 31568
2019-12-15 20:07:24 INFO     Asset name: 3B Trondheim With Nidaros Cathedral, ID: 31569
2019-12-15 20:07:25 INFO     excp31569 matches size to existing asset: 10IyQVRnd2kfL0kamfhjJA
2019-12-15 20:07:25 INFO     Linking excp31569 to existing asset: 10IyQVRnd2kfL0kamfhjJA
2019-12-15 20:07:26 INFO     Entry exists: 31569
2019-12-15 20:07:27 INFO     Entry deleted: 31569
2019-12-15 20:07:29 INFO     Entry added: 31569
2019-12-15 20:07:29 INFO     Excursion migration started with ID: 31570
2019-12-15 20:07:29 INFO     Excursion migration finished with ID: 31569
2019-12-15 20:07:29 INFO     Asset name: 3D Trondheim City Walk, ID: 31570
2019-12-15 20:07:29 INFO     Asset exists, skip asset ID: excp31570
2019-12-15 20:07:29 INFO     Entry exists: 31570
2019-12-15 20:07:30 INFO     Entry deleted: 31570
2019-12-15 20:07:32 INFO     Entry added: 31570
2019-12-15 20:07:32 INFO     Excursion migration started with ID: 31572
2019-12-15 20:07:32 INFO     Excursion migration finished with ID: 31570
2019-12-15 20:07:32 INFO     Asset name: 3G Kayaking On The River Nid, ID: 31572
2019-12-15 20:07:32 INFO     Asset exists, skip asset ID: excp31572
2019-12-15 20:07:32 INFO     Entry exists: 31572
2019-12-15 20:07:34 INFO     Entry deleted: 31572
2019-12-15 20:07:36 INFO     Entry added: 31572
2019-12-15 20:07:36 INFO     Excursion migration started with ID: 31571
2019-12-15 20:07:36 INFO     Excursion migration finished with ID: 31572
2019-12-15 20:07:36 INFO     Asset name: A person riding on the back of a bicycle, ID: 31571
2019-12-15 20:07:36 INFO     Asset exists, skip asset ID: excp31571
2019-12-15 20:07:36 INFO     Entry exists: 31571
2019-12-15 20:07:37 INFO     Entry deleted: 31571
2019-12-15 20:07:39 INFO     Entry added: 31571
